category,name,price,description
Soup & Salads,Signature Salad,5.99,
Soup & Salads,Caesar Salad,6.95,
Soup & Salads,Adei's Lentil Soup,6.95,
Soup & Salads,Veggie Soup,5.95,
Express,Panini,5.99,
Express,Sandwich Deluxe,7.99,
Express,Enjerito Vegetarian,6.99,
Express,Enjerito with Beef or Chicken,7.99,
Express,Tortilla Wrap,0.00,
Basmati Rice,Rice with Shrimp,13.99,
Basmati Rice,Rice Kabob,12.99,
Basmati Rice,Rice Klwa,12.99,
Basmati Rice,Rice of the Red Sea,10.99,
Italian,Pasta Alfredo,11.99,
Italian,Lasagna,11.99,
Italian,Pasta San Marzane,9.99,
Italian,Pasta Bolognese,10.99,
Italian,Ravioli,12.99,
Italian,Shrimp Pasta,14.99,
Italian,Linguine in Pesto & Spinach,10.99,
Italian,Aurora Bells,12.99,
Eritrean Dishes,Qlwa Beef with Spinach,11.99,
Eritrean Dishes,Qlwa Beef,12.99,
Eritrean Dishes,Qlwa Dry,13.99,
Eritrean Dishes,Qlwa Lamb,13.99,
Eritrean Dishes,Qlwa Chicken Breast with Spinach,11.99,
Eritrean Dishes,Tsebhi Derho,11.99,
Eritrean Dishes,Qlwa Shrimp,14.99,
Eritrean Dishes,Tilapia,11.99,
Eritrean Dishes,Vegetarian Combination,11.99,
Eritrean Dishes,Shiro,12.99,
Desserts,Tiramisu,4.69,
Desserts,Millefoglie,3.95,
Desserts,Aurora Pastry,2.49,
Desserts,Torta Della Nonna,3.95,
Desserts,Gelato,5.95,
Desserts,Ice Cream,2.49,
Desserts,Muffin,1.79,
Desserts,Pastry of the Day,1.99,
Desserts,Baklava,2.69,
Desserts,Anise Cake,2.49,
Desserts,Creme Brulee,4.69,
Desserts,Croissant,1.49,
Desserts,Biscotti,1.79,
Desserts,Homemade Cookies,1.29,
Tea & Coffee,Tea,1.79,
Tea & Coffee,Berad Shahi,1.99,
Tea & Coffee,Herbal Tea,1.85,
Tea & Coffee,Lavazza Drip,1.89,
Tea & Coffee,Macchiato,1.89,
Tea & Coffee,Caffelatte,2.69,
Tea & Coffee,Mocha,2.99,
Tea & Coffee,Cappuccino,2.69,
Tea & Coffee,Cappuccino Viennese,3.69,
Tea & Coffee,Caramel Macchiato,2.99,
Tea & Coffee,Hot Chocolate,2.49,
Tea & Coffee,Americano,2.29,
Tea & Coffee,Breve,2.49,
Tea & Coffee,Espresso,1.89,
Tea & Coffee,Macchiato Trestelle,2.49,
Tea & Coffee,Flaxseed,3.69,
Tea & Coffee,Smoothie,3.49,
Tea & Coffee,Amore Espresso,3.99,
Tea & Coffee,Aurora Signature,3.99,Espresso + Kahlua
Tea & Coffee,Ice Tea,1.99,
